hexID,species,LAT,LON,NumObs,kingdom
3314,Fucus distichus,57.04496,-135.31212,1,Chromista
3314,Fucus distichus,57.045311,-135.312228,1,Chromista
3314,Fucus distichus,57.045359,-135.317886,1,Chromista
3314,Fucus distichus,57.045376,-135.304369,1,Chromista
3314,Fucus distichus,57.045391,-135.312195,1,Chromista
3314,Fucus distichus,57.045668,-135.312055,1,Chromista
3314,Fucus distichus,57.046056,-135.316809,1,Chromista
3314,Fucus distichus,57.046305,-135.319947,1,Chromista
3314,Fucus distichus,57.046511,-135.317993,1,Chromista
3314,Fucus distichus,57.04659,-135.317788,1,Chromista
3314,Fucus distichus,57.046761,-135.321442,1,Chromista
3314,Fucus distichus,57.047327,-135.318475,1,Chromista
3314,Fucus distichus,57.047403,-135.297732,1,Chromista
3314,Fucus distichus,57.047471,-135.31951,1,Chromista
3314,Fucus distichus,57.047479,-135.318541,1,Chromista
3314,Fucus distichus,57.04751,-135.320623,1,Chromista
3314,Fucus distichus,57.04772,-135.342377,1,Chromista
3314,Fucus distichus,57.047776,-135.338629,1,Chromista
3314,Fucus distichus,57.047897,-135.321071,1,Chromista
3314,Fucus distichus,57.04796,-135.337286,1,Chromista
3314,Fucus distichus,57.048009,-135.319387,1,Chromista
3314,Fucus distichus,57.048068,-135.320609,1,Chromista
3314,Fucus distichus,57.048115,-135.321808,1,Chromista
3314,Fucus distichus,57.048128,-135.319831,1,Chromista
3314,Fucus distichus,57.048212,-135.346682,1,Chromista
3314,Fucus distichus,57.048447,-135.322248,1,Chromista
3314,Fucus distichus,57.048603,-135.319641,1,Chromista
3314,Fucus distichus,57.048617,-135.320833,1,Chromista
3314,Fucus distichus,57.048628,-135.323037,1,Chromista
3314,Fucus distichus,57.048693,-135.322707,1,Chromista
3314,Fucus distichus,57.048698,-135.32314,33,Chromista
3314,Fucus distichus,57.048986,-135.331475,1,Chromista
3314,Fucus distichus,57.049056,-135.326267,1,Chromista
3314,Fucus distichus,57.049073,-135.321994,1,Chromista
3314,Fucus distichus,57.049142,-135.331558,1,Chromista
3314,Fucus distichus,57.049186,-135.323481,1,Chromista
3314,Fucus distichus,57.049328,-135.323289,1,Chromista
3314,Fucus distichus,57.049428,-135.33133,1,Chromista
3314,Fucus distichus,57.049603,-135.331405,1,Chromista
3314,Fucus distichus,57.04985,-135.324312,1,Chromista
3314,Fucus distichus,57.050995,-135.327034,1,Chromista
3314,Fucus distichus,57.051574,-135.332744,1,Chromista
3314,Fucus distichus,57.052391,-135.35023,1,Chromista
3314,Fucus distichus,57.053056,-135.33,6,Chromista
3314,Fucus distichus,57.053219,-135.334551,1,Chromista
3314,Fucus distichus,57.054418,-135.356475,1,Chromista
3314,Fucus distichus,57.058002,-135.349252,1,Chromista
3314,Fucus distichus,57.064262,-135.339613,4,Chromista
3314,Fucus distichus,57.113604,-135.571672,1,Chromista
3314,Fucus distichus,57.131359,-135.371552,1,Chromista
3314,Fucus distichus,57.131497,-135.372629,1,Chromista
3314,Fucus distichus,57.133226,-135.369553,1,Chromista
3314,Fucus distichus,57.135133,-135.369599,1,Chromista
3314,Fucus distichus,57.137501,-135.373062,1,Chromista
3314,Fucus distichus,57.141992,-135.376911,1,Chromista
3314,Fucus distichus,57.142072,-135.37222,1,Chromista
3314,Fucus distichus,57.142145,-135.372895,1,Chromista
3314,Fucus distichus,57.14251,-135.33262,2,Chromista
3314,Fucus distichus,57.144982,-135.56395,1,Chromista
3314,Fucus distichus,57.148353,-135.597849,1,Chromista
3314,Fucus distichus,57.151103,-135.567701,1,Chromista
3314,Fucus distichus,57.164743,-135.744454,1,Chromista
3314,Fucus distichus,57.25338,-135.655727,1,Chromista
3314,Fucus distichus,57.291173,-135.836205,1,Chromista
3314,Fucus distichus,57.410375,-135.056994,1,Chromista
